Listing Id,Website,Name,Price,Price Type Tag,Bed,Bath,SQFT,PSF ($),Address,Google Map Link,Area Code,Nearby Stations,Furnishing,TOP,Floor Level,Currently Tenanted,Maintenance Fee,House features,Loan Amount,Upfront Cost,Interst Rate Applied,Monthly Mortgage (2%),Monthly Mortgage,Monthly Principal,Monthly Interest,Avg Rental,Rental Yield,Cashflow,Profitable
23122074,https://www.propertyguru.com.sg/listing/23122074,East Village,620000,NEGOTIABLE,1,1,409,1515.89,430 Upper Changi Road 487048 Bedok / Upper East Coast (D16),https://www.google.com/maps/search/430+Upper+Changi+Road+487048+Bedok+/+Upper+East+Coast+(D16),D16,7 mins (520 m) to CG/EW4 Tanah Merah MRT,Partially Furnished,2014,High Floor,No,,Air-Conditioning / Balcony / Bed / Bombshelter / Cooker Hob/Hood / Corner Unit / Fridge / High Floor / Intercom / Living Room Furniture / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1833.0,0.04,228.0,True
23276108,https://www.propertyguru.com.sg/listing/23276108,The Vue,620000,STARTING FROM,1,1,430,1441.86,355 Upper Paya Lebar Road 534958 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/355+Upper+Paya+Lebar+Road+534958+Hougang+/+Punggol+/+Sengkang+(D19),D19,6 mins (480 m) to CC12 Bartley MRT / 11 mins (790 m) to CC13/NE12 Serangoon MRT,Partially Furnished,2014,Middle Floor,No,,Barbeque Area / Gymnasium room / Playground / Swimming pool,465000,155000,1.5 %,1719,1605,1038,567,1655.0,0.03,50.0,True
23526188,https://www.propertyguru.com.sg/listing/23526188,Haig 162,620000,NEGOTIABLE,1,1,366,1693.99,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Partially Furnished,2013,Middle Floor,"Until 29 May, 2021",,Air-Conditioning / Balcony / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1920.0,0.04,315.0,True
23562219,https://www.propertyguru.com.sg/listing/23562219,Race Course 138,620000,NEGOTIABLE,1,1,420,1476.19,138 Race Course Road 218591 Farrer Park / Serangoon Rd (D08),https://www.google.com/maps/search/138+Race+Course+Road+218591+Farrer+Park+/+Serangoon+Rd+(D08),D08,6 mins (420 m) to NE8 Farrer Park MRT / 7 mins (510 m) to DT12/NE7 Little India MRT / 8 mins (590 m) to DT22 Jalan Besar MRT,Fully Furnished,2004,High Floor,No,,Air-Conditioning / Bed / City View / Fridge / High Floor / Living Room Furniture / Television / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1995.0,0.04,390.0,True
22504796,https://www.propertyguru.com.sg/listing/22504796,Suites @ Shrewsbury,620000,NEGOTIABLE,1,1,370,1675.68,84 Shrewsbury Road 307842 Newton / Novena (D11),https://www.google.com/maps/search/84+Shrewsbury+Road+307842+Newton+/+Novena+(D11),D11,9 mins (650 m) to NS20 Novena MRT / 12 mins (910 m) to NE8 Farrer Park MRT,Fully Furnished,2013,Middle Floor,"Until 2 Apr, 2021",,Barbeque Area / Covered car park / Jacuzzi / Swimming pool,465000,155000,1.5 %,1719,1605,1038,567,1900.0,0.04,295.0,True
23268248,https://www.propertyguru.com.sg/listing/23268248,The Santorini,620000,NEGOTIABLE,1,1,527,1176.47,21 Tampines Street 86 528592 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/21+Tampines+Street+86+528592+Pasir+Ris+/+Tampines+(D18),D18,9 mins (670 m) to CR6 Tampines North MRT,Fully Furnished,2018,Low Floor,No,,Air-Conditioning / Balcony / Bed / Cooker Hob/Hood / Dining Room Furniture / Fridge / Living Room Furniture / Oven / Microwave / Washing Machine / Water Heater,465000,155000,1.5 %,1719,1605,1038,567,1970.0,0.04,365.0,True
23605457,https://www.propertyguru.com.sg/listing/23605457,Haig 162,622000,NEGOTIABLE,1,1,365,1704.11,162 Haig Road 438773 East Coast / Marine Parade (D15),https://www.google.com/maps/search/162+Haig+Road+438773+East+Coast+/+Marine+Parade+(D15),D15,11 mins (810 m) to TE25 Tanjong Katong MRT / 11 mins (850 m) to TE26 Marine Parade MRT,Partially Furnished,2013,High Floor,No,,Air-Conditioning / Balcony / City View / Cooker Hob/Hood / Corner Unit / Fridge / High Floor / Walk-in-wardrobe / Washing Machine / Water Heater,466500,155500,1.5 %,1724,1610,1041,569,1920.0,0.04,310.0,True
23604096,https://www.propertyguru.com.sg/listing/23604096,Urban Vista,625000,STARTING FROM,1,1,431,1450.12,14 Tanah Merah Kechil Link 465423 Bedok / Upper East Coast (D16),https://www.google.com/maps/search/14+Tanah+Merah+Kechil+Link+465423+Bedok+/+Upper+East+Coast+(D16),D16,3 mins (260 m) to CG/EW4 Tanah Merah MRT,Partially Furnished,2016,Low Floor,"Until 19 Jul, 2021",S$ 207.00 /mo,Air-Conditioning / Balcony / Corner Unit / Dryer / Fridge / Living Room Furniture / Washing Machine,468750,156250,1.5 %,1733,1618,1046,572,1880.0,0.04,262.0,True
23472248,https://www.propertyguru.com.sg/listing/23472248,Suites @ Paya Lebar,625000,NEGOTIABLE,1,1,409,1528.12,420 Upper Paya Lebar Road 534049 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/420+Upper+Paya+Lebar+Road+534049+Hougang+/+Punggol+/+Sengkang+(D19),D19,10 mins (760 m) to CC13/NE12 Serangoon MRT / 11 mins (850 m) to CC12 Bartley MRT,Unfurnished,2014,Middle Floor,No,S$ 210.00 /mo,Air-Conditioning / Balcony / Bombshelter / Cooker Hob/Hood / Park / Greenery View / Original Condition / Water Heater,468750,156250,1.5 %,1733,1618,1046,572,1785.0,0.03,167.0,True
23472248,https://www.propertyguru.com.sg/listing/23472248,Suites @ Paya Lebar,625000,NEGOTIABLE,1,1,409,1528.12,420 Upper Paya Lebar Road 534049 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/420+Upper+Paya+Lebar+Road+534049+Hougang+/+Punggol+/+Sengkang+(D19),D19,10 mins (760 m) to CC13/NE12 Serangoon MRT / 11 mins (850 m) to CC12 Bartley MRT,Unfurnished,2014,Middle Floor,No,S$ 210.00 /mo,Air-Conditioning / Balcony / Bombshelter / Cooker Hob/Hood / Park / Greenery View / Original Condition / Water Heater,468750,156250,1.5 %,1733,1618,1046,572,1785.0,0.03,167.0,True
23537222,https://www.propertyguru.com.sg/listing/23537222,The Santorini,626113,NEGOTIABLE,1,1,527,1188.07,21 Tampines Street 86 528592 Pasir Ris / Tampines (D18),https://www.google.com/maps/search/21+Tampines+Street+86+528592+Pasir+Ris+/+Tampines+(D18),D18,9 mins (670 m) to CR6 Tampines North MRT,Unfurnished,2018,Low Floor,No,,Clubhouse / Drop Off Point / Fitness corner / Gymnasium room / Lap pool / Lift lobby / Main entrance / 24 hours security / Tennis courts / Wading pool,469584,156529,1.5 %,1736,1621,1048,573,1970.0,0.04,349.0,True
23515862,https://www.propertyguru.com.sg/listing/23515862,Parc Centros,628000,NEGOTIABLE,1,1,473,1327.7,80 Punggol Central 828762 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/80+Punggol+Central+828762+Hougang+/+Punggol+/+Sengkang+(D19),D19,4 mins (310 m) to CP4/NE17 Punggol MRT / 4 mins (310 m) to PTC Punggol LRT / 6 mins (450 m) to PE1 Cove LRT,Partially Furnished,2016,Low Floor,"Until 15 Oct, 2021",,Air-Conditioning / Intercom / Low Floor / Water Heater,471000,157000,1.5 %,1741,1626,1051,574,1920.0,0.04,294.0,True
23547571,https://www.propertyguru.com.sg/listing/23547571,Suites @ Paya Lebar,629000,NEGOTIABLE,1,1,398,1580.4,420 Upper Paya Lebar Road 534049 Hougang / Punggol / Sengkang (D19),https://www.google.com/maps/search/420+Upper+Paya+Lebar+Road+534049+Hougang+/+Punggol+/+Sengkang+(D19),D19,10 mins (760 m) to CC13/NE12 Serangoon MRT / 11 mins (850 m) to CC12 Bartley MRT,Unfurnished,2014,High Floor,No,,Air-Conditioning / Balcony / Cooker Hob/Hood / Renovated,471750,157250,1.5 %,1744,1628,1053,575,1785.0,0.03,157.0,True
